Field,ID,Type (種類),default,en,ja,fr,de,zh-cn,zh-tw,ko,ru,it,es,pt,hi,ar,id,th,vi,tr,uk,en-us,nl,sv,pl
DesktopScreenshot1,100,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3065140788207357290,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3066137867309639375,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3007086012773208588,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3050290205891830943,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3041303084984865470,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3033654983333062351,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3045373916039506990,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3045023249736264562,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3064547893995837276,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3064425691771322087,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3070970731096903008,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3050932159265407031,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3059991864528323365,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3009413040258277179,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3062457866151783611,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3050161859031446825,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3002868344578863703,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3028679767356521415,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3041032231668812567,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3041032231668812567,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3041032231668812567
DesktopScreenshot2,101,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3041032231668812567,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3040610436456866094,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3065365266851088324,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3020890692941869550,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3016471982614115434,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3036414320054315556,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3038438044341395226,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3035416869623409182,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3011208012063256038,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3019103315661427051,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3070353879420041478,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3005031659751084184,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3025376463553857416,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3066770305927620409,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3001293345592513382,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3009370423908371828,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3001235532648843416,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3063575082393218731,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3001906641015910280,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3065140788207357290,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3065140788207357290,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3065140788207357290
DesktopScreenshot3,102,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3042322937205208069,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3027654199757863175,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3070632293692734872,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3057096787284677301,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3006150071352217208,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3065594786667212557,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3058240880815363328,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3050392261035586683,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3020105403360318887,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3051541298839187645,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3049875043912525531,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3018656140514621796,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3008600002089672690,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3018620911741799296,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3034556673833230571,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3058191271494597687,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3000716313018874328,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3017500351650039710
DesktopScreenshot4,103,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3001262452330891268,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3025599615069039760,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3067696865152720795,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3002669305137192875,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3033725506746103617,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3066296797162936106,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3007352569505298725,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3071860757076405811,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3058598216975902190,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3065626216188212402,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3011133793447010157,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3024917178128848384,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3015105061684655341,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3066586604154389619,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3035504239289722892,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3011731370773136054,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3046218576280074334,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3022606432727793946,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3049506681417514558,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3022992863884082427,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3022992863884082427,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3022992863884082427
DesktopScreenshot5,104,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3022992863884082427,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3017500351650039710,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3058887292683395162,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3020955962418890225,,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3029971199402384262,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3040504518049373732,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3032570540956480648,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3062961752973917425,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3014330376593325825,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3007619000964696542,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3070995485641406915,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3071102872083255413,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3059686537416373136,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3007400691622421872,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3015794246691399758,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3016858009338276160,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3013810553869371752,,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673523/listingassets/3001262452330891268,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673525/listingassets/3001262452330891268,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700025673527/listingassets/3001262452330891268
DesktopScreenshot6,105,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot7,106,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot8,107,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot9,108,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot10,109,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot11,110,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot12,111,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot13,112,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot14,113,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot15,114,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot16,115,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot17,116,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot18,117,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot19,118,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot20,119,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot21,120,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot22,121,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot23,122,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot24,123,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot25,124,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot26,125,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot27,126,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot28,127,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot29,128,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot30,129,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption2,151,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption3,152,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption4,153,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption5,154,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption6,155,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption7,156,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption11,160,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption12,161,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption13,162,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption14,163,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption15,164,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption16,165,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption17,166,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption18,167,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption19,168,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption20,169,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption21,170,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption22,171,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption23,172,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption24,173,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption25,174,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption26,175,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption27,176,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption28,177,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption29,178,テキスト,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption30,179,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot1,200,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot2,201,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot3,202,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot4,203,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot5,204,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot6,205,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot7,206,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot8,207,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot9,208,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot10,209,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot11,210,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot12,211,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot13,212,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot14,213,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot15,214,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot16,215,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot17,216,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot18,217,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot19,218,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot20,219,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot21,220,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot22,221,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot23,222,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot24,223,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot25,224,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot26,225,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot27,226,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot28,227,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot29,228,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot30,229,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption1,250,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption8,257,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption11,260,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption12,261,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption13,262,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption14,263,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption15,264,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption16,265,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption17,266,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption18,267,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption19,268,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption20,269,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption21,270,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption22,271,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption23,272,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption24,273,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption25,274,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption26,275,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption27,276,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption28,277,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption29,278,テキスト,,,,,,,,,,,,,,,,,,,,,,,
